1	vLdfKriwhLUMSeLEHKAt	Non-empty Intersection	probability	7	JaneStreet|JumpTrading	FREE
108	idrOXFDoo8atWv7lz1SM	Triangle Inside Circle I	probability	4	Graviton	PAID
109	CSUrSVGDqcHyXUPbtMwR	Lily Pad	brainteasers	2	AkunaCapital	PAID
110	1jw4YHB0rz9M5GUwHgXz	Passing The Bottle	probability	8		PAID
111	JgM9aMPMxIkMH0nqJ2Jn	Jumping Frog I	probability	6	DRW|FiveRings	PAID
112	XanBfHcdE0k4yIXQFae0	Penguin Walk II	probability	4		PAID
113	63OLg1n3zpk6o95pePG4	Interview I	probability	9	Citadel	PAID
114	zY4KRBMRgKU5QKkt5Hef	Free Throws I	probability	4		PAID
115	KDHkbsXVqua2YPwPNiyH	Starting With Heads	probability	5	FiveRings|Graviton	PAID
116	uZzimJcho24FbXuNsoTf	Circular Table	probability	6		PAID
117	Lx9sgVgNwA93TQ9beork	Gold Thief	brainteasers	1	JaneStreet	PAID
118	qdqKRu1bIu6vwI6KutB9	Hanging Chain	brainteasers	4		PAID
119	N0DJdmQ9OA23RrxNnmgr	Coin Sequence Guess	probability	6		PAID
120	yLviBBePiTeE8xOqJb2v	Higher Roll I	probability	4		PAID
121	DunzfFtgFXxpBTf7k1fL	Dice Game IV	probability	5	DRW	PAID
122	GIJhta0I2EvIwyGcANLR	Half Right Hats	brainteasers	6	Graviton	PAID
123	dAPC43ShGSTGC5MOc3ib	Pppower	brainteasers	4		PAID
124	UHIhd8vBtPqxN0v0sa6v	Grid Arrangement II	combinatorics	5		PAID
125	wQGM99svVOJC82MW0ADW	Distant Points	probability	6		PAID
126	XL4i2ZiqBdjhgAUpNWdl	Probabilistic Strategy III	probability	6	HudsonRiverTrading	PAID
127	TU2gemj1ccDPC1ELStxX	Optimal Card Guessing	probability	6	FiveRings	PAID
128	hVD5N846XRLILTDt1RDH	k-inversions	probability	6		PAID
129	lPC4j6KTJEFDQ1HgvClb	Five In Numerator	probability	3		PAID
130	HG61AEJaODQYvMdbIkKR	W-permutation	probability	5		PAID
131	c3s2PPNackflJJATT3XK	Prisoner Hats	brainteasers	6		PAID
132	sZ5V8gngsSiFOcYLQt1q	Contiguous THTH	probability	6	JaneStreet	PAID
133	Of8aM57f509GqnquBIFD	50 Wise Men	brainteasers	8		PAID
134	5DMYjpLjAWAnpF9Cc7pj	Rolling Everything I	probability	5	AkunaCapital|DRW|HudsonRiverTrading|IMCTrading|Optiver|TwoSigma	PAID
135	y9qyeHjXcHiJifyrm5W0	Socks Remaining I	probability	7	JumpTrading|JaneStreet	PAID
136	tBObqkSqrHLSe1Fc2OBv	Consecutive Envelopes I	probability	6	Optiver	PAID
137	C4p32I53Z6pp1JA3qryg	Trailing Zeros I	brainteasers	3	DRW|SusquehannaInternationalGroup	PAID
138	kvjEF6xI0y0tED9rmIG4	Expected Minimum Till 5	probability	5		PAID
139	KVci5WB4zkwAkUZQkVFK	Palindrome Summation	brainteasers	4	DRW	PAID
140	3ZTkwrkCxMVbXvRy4ju4	Matrix Attack II	brainteasers	10	Graviton	PAID
141	rPoGdKa09BJ0yzBD1onB	Consecutive 1s	probability	2		PAID
142	vZ2rl1NozCnFN00nBz0J	Ball With Maximum Value	probability	6		PAID
143	I6KVv2ypKWIbVizkoPrx	Digit Multiply I	brainteasers	5		PAID
144	5s1R0O0hY00HYlDLMo61	Regular Octagon	probability	6		PAID
145	FOO2QTEGNesPImSqUSq4	Payment	probability	4		PAID
146	iLuOcf1oYunt2bosugoz	Rock Paper Scissors	brainteasers	3		PAID
147	c6InbPL51kGQGoM7q0RM	Party Groups I	probability	8	JaneStreet	PAID
148	px6Cz2mGXeDTD0zl72Ds	Min, Median, Max Guess	probability	7		PAID
149	kf0KiN8s3i9HaLqDqH9J	Normal Inequality III	probability	6	AkunaCapital	PAID
150	N1dTlTpOIZzO2rpsQ0UD	Permutation Variance	probability	8		PAID
151	UK09zbk7PiYCI0045bgg	Probabilistic Strategy II	probability	4	Graviton	PAID
152	iW4576b7zqryAZhBgdGk	3D Tic-tac-toe	combinatorics	4	JumpTrading	PAID
153	yFzGnW30AHuDACVROetF	Color And Roll	probability	2	JaneStreet	PAID
154	fCireeojqLuwhX4dtmZw	Expected 2s	probability	4	Citadel	PAID
155	tBkE8zSUhxfJYLzhVVh8	Drunk Passenger I	probability	8	IMCTrading	PAID
156	cu3bs1rDPC084X4yGbaJ	Broken Calculator	brainteasers	8		PAID
157	OoFOqh72rDwUNoFvqsPr	Square Fitting II	probability	6		PAID
158	F5mPYn36xIhZ6ViQhqid	Increasing Dice Rolls II	probability	7	Graviton|HudsonRiverTrading|IMCTrading	PAID
159	4oFIuRifh7Zmm56ONaVS	Direction Change II	probability	6	Citadel|Graviton|TwoSigma	PAID
160	FYrqlpK5FO8YbZRMdGm4	Close Factors	brainteasers	3	Optiver	PAID
161	d9kWxPHVfNoLkIvVp2El	Non-absorbing Random-walk	probability	4		PAID
162	RmaojtWJZ3QIieU5HIrL	Equal Logarithms	probability	3		PAID
163	gDLEBSfMoZS4raI7JtdJ	Mathematical Expression III	combinatorics	3	IMCTrading	PAID
164	aFC2M8mJFSeMpDGgl5Uk	Dice Multiple I	probability	5		PAID
165	5alsO3AOk1yIjhX9bHT9	Self-avoiding Paths	combinatorics	8	JaneStreet	PAID
166	xM02iBRPJoibumnbaydK	SOS Game	brainteasers	10		PAID
167	afbI9Loy69NCmKqpdoOI	Moving Ants I	probability	1		PAID
168	ShVWfm2RaEQxRUGlpbuA	Moving Ants III	probability	7	HudsonRiverTrading	PAID
169	tEgvciWZHcpr0iQTMhCt	Constrained Subsets I	combinatorics	3		PAID
170	jrRNg5LG5Ojwjl68kE2g	Sufficient Sum IV	probability	10	AkunaCapital	PAID
171	5xlaA5ZRBkAC9eaxiJMy	Numerator I	brainteasers	4		PAID
172	4cRp3ym9Fti8xBTtxE0c	Predicting King Draws	probability	6		PAID
173	xiHl4niUFs9EWogvDT05	40-sided And 60-sided Die	probability	2	DRW	PAID
174	SwerGyB9hmVzskfGBNT4	Count Bitonic Permutations	combinatorics	5	Graviton|IMCTrading	PAID
175	EXR1HFJczvot6cs5KiC5	Uniform Number Bet I	probability	9		PAID
176	K9YpWGlQc6d5ivmM005F	Asset Price	probability	2		PAID
177	30TWChEdLsewPYnUqdUb	Prism Count	combinatorics	3		PAID
178	2vVzcR8xxDCqS9ufAEdc	Bulb Factory	probability	2	JaneStreet	PAID
179	nhLC4p0xFBtfB79VMg6m	Moving Checker	probability	5	Citadel|Graviton	PAID
180	dKKfuprqWGqSKAyyDo5Z	XXYYYYZZ	combinatorics	4		PAID
181	enQ6KblKZucAeBG5hmtr	Factorial Factor	probability	4	Optiver	PAID
182	nR2tgqx2E1viHodEIvx1	Interesting Division	brainteasers	3		PAID
183	nOBiAzkbv5VILAsk9duV	Bulb Toggle III	brainteasers	7	Citadel|SusquehannaInternationalGroup	PAID
184	KyKVgYgnlu4YI9ZmH8q2	Broken Stick I	probability	5	Citadel	PAID
185	OK5hTR3GLIM6cIQNoVoA	Factorial Vs Exponent	brainteasers	4	JumpTrading	PAID
186	alXLhr2ak6xTkF2P2KHb	Expected Arc Length III	probability	8		PAID
187	uLYMpistgx2VZUVmCGSs	Heavy Group	probability	3	IMCTrading	PAID
188	JxtZtwsQL2msxkm2m55D	First And Last Flip	probability	6		PAID
189	2j4YA5SC7TOJbmcjKcWO	Integral Angles	combinatorics	3		PAID
190	iylIFgdcwVghnprV0SEk	Perfect Ratio	probability	10		PAID
191	RqLm9AKzQMYQBJgjZnet	Winning Odds	probability	3		PAID
192	hQp8ahRDbQOCKLJCnrTl	Biased Coin Game I	probability	5		PAID
193	ZC6WPs2sWQs83lOeG7YO	3 Marbles Remaining	probability	3		PAID
194	RVwBsPsMWdkHeK26aS37	Infinite Notes	brainteasers	5		PAID
195	Qks0eYZsrNU0J65FI9dr	Polynomial Coefficient	brainteasers	9	JumpTrading	PAID
196	RDt68bw7kzPOpbONxnNP	Game On Prime Numbers	brainteasers	8		PAID
197	aInMTAB3Cc6dU3GTCMZd	Double Headed Coin I	probability	1	AkunaCapital|DRW|FiveRings|HudsonRiverTrading|TwoSigma	PAID
198	dbKt91JO7MxkKcALpCsh	Tic Tac Toe	probability	4		PAID
199	dng2Cy1WO10DaymFry0s	Dominant Flip	probability	6	Citadel	PAID
200	V9zsN5AaF6vhpX5ZZIU0	Queen Before King	probability	2		PAID
201	M0lHcii7gFEA5PEbeiNN	Expected Arc Length II	probability	8		PAID
202	LKNx60pYqqThsmeQmk1s	Normal Inequality II	probability	5		PAID
203	TctfGcxLRpXq6QUfxbBU	Draw A Spade	probability	5		PAID
204	Nfwj98am0VdVN4iaQ27B	Median Roll	probability	3		PAID
205	WkXPpZ7K0R1RpL1I38bq	Permutation Return	probability	6		PAID
206	OuW5QsxPdqAJVBnUAKcM	Getting Singular Matrix	probability	6		PAID
207	rMW1jsWmThyvio3we5bo	Chess Tournament V	probability	5		PAID
208	5jF4sEZkvE3wAXvCyXcg	Gambler's Ruin II	probability	7	AkunaCapital	PAID
209	7rcKaMJGsqWae1nQllz0	Sum Of Divisor Ratio	brainteasers	3		PAID
210	VjhgIBmJExYd7iXOqdY7	No Intersections	probability	4	FiveRings	PAID
211	zvkV3bAz4cjhvmoDsbOE	Expected Area Of Intersection	probability	7		PAID
212	wNatB3tMxVbZywKiYPKI	Blue, Ugly And Special	probability	5		PAID
213	5gi7ayCfw5sbAAYvoMEz	Card Picking III	probability	4	Optiver|TwoSigma	PAID
214	iuWUOMyCA1hrBQpELiyO	Probability Of Subset	probability	8	HudsonRiverTrading	PAID
215	akfCc2WmDqZKi9dVcVVH	Circle Fitting II	probability	5		PAID
216	qqULzunLvKHeXiOrEuaA	Triangle Inside Circle II	probability	6		PAID
217	2OK7ZamE10N2Nh10BDuF	Game Of Subtracting Digits	brainteasers	5		PAID
218	4LzuTSgLLJe67o5TVUjS	Count Rankings	combinatorics	4	Graviton	PAID
219	eNT8Twpk1Ku8ydMkeN5u	Count Rectangles I	combinatorics	3		PAID
220	Y6eVhEUnRvKq5VfMTTwG	Line Splits I	probability	5	SusquehannaInternationalGroup	PAID
221	au9np3WyAcQT4ZDP90gR	Sharing A Secret	combinatorics	6		PAID
222	ustjrSin6VOKLv04DQt9	Falling Ants	brainteasers	4	IMCTrading	PAID
223	FjlLypE6Pev4g5uJqypk	Random Segments	probability	6		PAID
224	WeHcgaoehzA97WVhZqxf	Even Squares	brainteasers	4		PAID
225	I3ymDcBA5RhzDIer0O9n	Triangle Formation II	probability	6	AkunaCapital	PAID
226	zrNmFS2rkAmhtthrVdu7	Get Heads	probability	4	SusquehannaInternationalGroup	PAID
227	bSIaGi5bgxquLECcvkHr	Distinct Faces	probability	5	FiveRings	PAID
228	T53X1Xvd6XQaPLlPHtyy	Initial Roll	probability	3		PAID
229	30GJaOQBm1GK9SsAvsGW	Digit Sum I	combinatorics	5		PAID
230	yjDnn14D63IXyhNB3cRS	Baseball Series	probability	3		PAID
231	zAtthBViCLsFWQivzjwa	Collinear Integer Points	brainteasers	5	Graviton|SusquehannaInternationalGroup	PAID
232	va8NokfSzdXKypGuVNLm	Gambler's Ruin I	probability	4	HudsonRiverTrading	PAID
233	j0TeqVqDaE9OrA7nSd38	Local Maxima	probability	6	FiveRings|JaneStreet	PAID
234	ODTrx82wNY2pFyGJvyE0	Expected Collisions	probability	7	DRW	PAID
235	JEIuiuEhDT2LA8eSbelK	Only Consecutive Heads	probability	4		PAID
236	VMKhAAZTqkPuu2awkl6t	Constrained Digits	combinatorics	3		PAID
237	hLQWUerLHjXVpehphJbU	Max Fill	brainteasers	5	JumpTrading	PAID
238	21A4RNjzWry1dZFVbFFv	Up, Right And Diagonal	probability	6		PAID
239	XGHIXcO1yt1jeBEGEDYz	Product Of Solutions	combinatorics	10		PAID
240	xly9tlJRtE6Bxt5LiL1e	Ranged Guess	probability	10		PAID
241	c3aP0uvTtwxoJWEptONl	Circular Regions	probability	2	SusquehannaInternationalGroup	PAID
242	WtT2bk5byrBZ9aLlKelM	Integer Selection	probability	4		PAID
243	IvY3xV11oMGTYWDQMB2J	Double Headed Coin II	probability	2	AkunaCapital|DRW|FiveRings	PAID
244	mAfryNOOCPM905TjUgjX	M,P,F,G	probability	1		PAID
245	4qivEFL0eSVxu7Q5K9Ca	Tetrahedral Dice Game	probability	5	DRW	PAID
246	bo18o0EzC41tuXesGyx0	Probabilistic Strategy I	probability	3	JumpTrading	PAID
247	GHWHnisQQuCdN9eBGlI6	Coin Toss Game I	probability	5	AkunaCapital|Citadel|SusquehannaInternationalGroup	PAID
248	iPeGFVk12rl8aE3JZD4X	Adding 1 Or 2	probability	5		PAID
249	zBuJtJAifUGieUjZM7Mw	Positive Product	probability	6		PAID
250	plmeUOBLinjCGjNd96YS	Not That Easy	probability	3	AkunaCapital|HudsonRiverTrading	PAID
251	FLvonwQM1PLkuZQ6Nrzv	Measuring Everything I	brainteasers	6	SusquehannaInternationalGroup	PAID
252	QD3RA7JNGsYMeDmQXSmg	Count Solutions	combinatorics	3		PAID
253	TM2UldZL0wcuGqu6EtFJ	Dice Pattern Game I	probability	5	SusquehannaInternationalGroup	PAID
254	b0GjBv7ua7KIDKHdZ69I	Power Distance I	probability	6		PAID
255	1oZ7PFohWo4lYWtvtvs8	Power Factor	probability	4	AkunaCapital	PAID
256	2hbSvfRnTDxV2J6vKnCG	Training Sessions	combinatorics	3	IMCTrading	PAID
257	eoluzhzJQZQcp0UJVVw5	Same Cards	probability	5		PAID
258	4wa9z2aH1PIUmSD6Jch3	Ant On A Cube II	probability	5	AkunaCapital	PAID
259	6n3W4cfgJXnEbvFStojm	2 Or 11	probability	4	SusquehannaInternationalGroup	PAID
260	LDUGcZVKlClfyUJrJRQh	Geometric Progression	probability	7		PAID
261	hU18mMqhTsfHg8fxIO8Q	Sensor Signal	probability	5		PAID
262	BE11X74c38tpoP0n4r0T	Uniform Random Variables II	probability	2		PAID
263	9lArpMNq9oWqnMjTzwFX	Russian Roulette I	probability	3	JaneStreet	PAID
264	tidIaBmKUHskaUqokpIw	Drunk Passenger II	probability	9		PAID
265	p2wZ6NN6rMp2AN51JZJ4	Binary Cards Removal	brainteasers	9	JumpTrading	PAID
266	BDioARpcPXKN6odtzkbr	Early 5s	probability	5		PAID
267	AJmDAMZbeNx6GrUZKrpc	Bacteria Population	probability	2		PAID
268	m3VoO30vdkTV4SMsklAN	Cube Fitting I	brainteasers	3		PAID
269	QClNz0O5CeBRnpLijMbR	Nine Children	brainteasers	6		PAID
270	rxo7KzHzFC4j6dvpHXpD	Unit Digit Probability II	probability	5		PAID
271	SRuj4WU1ETsUeQyNkqSb	Grid Paint I	brainteasers	7		PAID
272	r1yi6oYTqdzaN0hV480A	Dice Game V	probability	4	AkunaCapital|Citadel|DRW|Optiver|SusquehannaInternationalGroup	PAID
273	Y38hjLvw1GbUP6XW7Rel	No Rocks Allowed	probability	4	JaneStreet	PAID
274	guxZuVx7VJl81iromofq	Expected Remainder	probability	8		PAID
275	Dmns22eofPNVlSWQAUUp	Coin Inside Square	probability	3	Graviton|JumpTrading|Optiver|TwoSigma	PAID
276	BM6iufJYJO4zBYVJNpfD	Coin Toss Game IV	probability	4	AkunaCapital	PAID
277	M3NB09Raf8iyKfkmpV2N	Vote Counting	probability	7		PAID
278	ykRkGb5B9ynbq15ebSvD	Unique Ids	combinatorics	4		PAID
279	MsDXFvUVO6ikR7LE93MU	Functional Equation	brainteasers	4		PAID
280	fN7LLD3e6vppGWHvHIWA	Expected Wait Time I	probability	1	JaneStreet	PAID
281	LdZlW1BfNjS6gTUuN3ig	Weighing Coins I	brainteasers	3	Citadel|IMCTrading|SusquehannaInternationalGroup	PAID
282	LWz7NnXAuVTi0cT0URJ5	Coin Toss Game III	probability	4	Graviton	PAID
283	05XMjBxwMRsmbwXGAKzR	Card Flipping Game	brainteasers	6		PAID
284	VXLYpW2Vn1t2Adre4rYT	Divisible By 5	brainteasers	4		PAID
285	Z5mSdTGdmyhYgcyZTxsK	Get More Heads	probability	8	AkunaCapital|Citadel|HudsonRiverTrading	PAID
286	GHhmZ43ZN7RY9lqYhQza	To Infinity And Beyond I	probability	5	JumpTrading	PAID
287	G8XbHoScQd1bmWjbat3b	Tails Removal	probability	6		PAID
288	0mqgcXvIiq5hYHQfTTKe	1 Dot Removed	probability	1	JaneStreet	PAID
289	eHUa459yOYLaT0vYa7eu	Even Head Stop II	probability	4	FiveRings|IMCTrading	PAID
290	UQEF5y2jzPc8JfDc5Sp9	Normal Inequality I	probability	6	AkunaCapital|HudsonRiverTrading|JumpTrading	PAID
291	w2iRucpnTRNw7XEsavSJ	Simple Game I	probability	6	JaneStreet	PAID
292	bbjX6nevEf1AIsxa5qJa	Boat And Steamer	brainteasers	1	HudsonRiverTrading	PAID
293	MfExlmKCMU0jfEUM8dbt	King, Queen, Ace I	probability	6		PAID
294	JY3Cv3mlFGpVcdjwN3u0	Coin Toss Game VII	probability	3		PAID
295	EDGBNMsMlZI2LbicZJA6	Interview II	probability	9		PAID
296	37VKFP372gN94GXBGxyv	Plus One, Minus One	brainteasers	7	Graviton|IMCTrading	PAID
297	CAXkM8oI2r0r0u6ExVfq	Largest Sum Subset	brainteasers	8	JaneStreet	PAID
298	cOQ0v1te1PGq6eKPFEgL	Careful Soldiers	brainteasers	9	Graviton	PAID
299	hW9bIsNVXilW5W3jyuL0	Dice Difference I	probability	5	Graviton	PAID
300	yqQumZTenG7hzos8qskP	Two Coins Remaining I	brainteasers	3	TwoSigma	PAID
